,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Errors,Penalties Conceded,Sin Bins,Used,Head Injury Assessment,Completions (%),Completed Sets Ratio,Match,Team,Year
0,49%,26:00,169,"1,698",501,2,24,41.4,209,3.8s,11,360,177,24,22,621,0,64%,2,6,85.2%,316,30,1,25,9,5,0,8,0,78%,32/41,Wests Tigers vs Bulldogs,Wests Tigers,2017
1,51%,27:04,175,"1,567",475,3,30,43.5,211,3.56s,16,422,235,25,23,607,1,70%,6,3,86.4%,279,24,0,20,10,8,1,7,4,81%,29/36,Wests Tigers vs Bulldogs,Bulldogs,2017
