,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,40/20,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Penalties Conceded,Completions (%),Completed Sets Ratio,Match,Team,Year
0,49%,22:33,150,"1,347",450,1,12,33.7,179,7,344,184,5,18,646,1,94%,1,3,4,93.8%,315,13,8,6,70%,28/40,Warriors vs Roosters,Warriors,2013
1,51%,23:29,152,"1,444",426,4,13,39.1,212,7,339,166,2,23,780,2,92%,0,2,3,94.7%,340,12,7,8,84%,31/37,Warriors vs Roosters,Roosters,2013
