,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Errors,Penalties Conceded,Sin Bins,Used,Head Injury Assessment,Completions (%),Completed Sets Ratio,Match,Team,Year
0,61%,30:42,187,"1,849",595,3,39,41.1,163,3.7s,6,417,237,23,14,378,2,67%,1,4,80.2%,247,40,1,21,13,4,0,7,1,78%,35/45,Cowboys vs Raiders,Cowboys,2017
1,39%,19:38,141,"1,381",380,2,40,41.9,95,3.38s,9,308,155,21,16,466,0,60%,2,3,88.4%,358,39,2,8,13,11,1,8,2,70%,23/33,Cowboys vs Raiders,Raiders,2017
