,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,40/20,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Penalties Conceded,On Reports,Completions (%),Completed Sets Ratio,Match,Team,Year
0,53%,27:25,165,"1,433",447,2,26,31.9,216,8,389,192,8,21,614,2,94%,1,3,2,90.6%,329,26,1,8,7,1,62%,28/45,Panthers vs Raiders,Panthers,2014
1,47%,24:19,165,"1,310",477,1,26,29.1,118,5,399,210,8,25,745,2,85%,0,4,8,89.5%,331,26,0,13,5,0,73%,33/45,Panthers vs Raiders,Raiders,2014
