,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Errors,Penalties Conceded,Sin Bins,Used,Completions (%),Completed Sets Ratio,Match,Team,Year
0,58%,29:01,183,"1,725",502,7,53,45.4,154,3.49s,7,409,222,44,21,557,1,71%,3,6,84.8%,234,21,0,21,11,5,1,7,79%,30/38,Broncos vs Sharks,Broncos,2017
1,42%,21:01,138,"1,318",384,1,21,40,198,3.19s,12,288,146,11,13,328,0,62%,4,6,83.5%,329,53,1,12,16,7,0,8,61%,20/33,Broncos vs Sharks,Sharks,2017
