,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Errors,Penalties Conceded,On Reports,Used,Head Injury Assessment,Completions (%),Completed Sets Ratio,Match,Team,Year
0,51%,29:00,193,"1,752",489,5,38,42.7,134,3.63s,8,395,206,6,18,516,1,86%,2,5,88.8%,342,36,7,13,7,1,8,1,68%,28/41,Eels vs Raiders,Eels,2019
1,49%,27:51,201,"1,592",461,4,36,37.9,215,3.21s,7,383,187,7,22,648,3,88%,4,4,87.6%,352,38,12,13,5,0,6,0,71%,30/42,Eels vs Raiders,Raiders,2019
