,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Errors,Penalties Conceded,Used,Head Injury Assessment,Completions (%),Completed Sets Ratio,Match,Team,Year
0,49%,26:13,150,"1,307",271,1,25,40.8,127,3.54s,5,385,215,7,23,553,89%,11,2,88.4%,357,36,1,11,9,8,7,1,81%,26/32,Bulldogs vs Storm,Bulldogs,2019
1,51%,27:17,171,"1,616",345,4,36,40.4,288,3.46s,6,393,208,15,20,556,65%,7,4,90.2%,303,25,0,8,10,4,8,0,78%,31/40,Bulldogs vs Storm,Storm,2019
