,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Penalties Conceded,On Reports,Completions (%),Completed Sets Ratio,Match,Team,Year
0,38%,20:39,154,"1,377",555,2,23,39.4,170,4,341,162,7,22,852,2,84%,1,2,90.3%,381,28,0,13,5,1,83%,29/35,Titans vs Broncos,Titans,2013
1,62%,33:41,190,"1,788",561,7,28,44.7,292,11,429,224,18,25,703,1,100%,7,5,91.9%,354,23,1,8,6,0,83%,33/40,Titans vs Broncos,Broncos,2013
