,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Errors,Penalties Conceded,Sin Bins,Used,Head Injury Assessment,Completions (%),Completed Sets Ratio,Match,Team,Year
0,43%,24:00,150,"1,432",523,4,16,40.9,156,3.6s,6,356,186,13,23,605,1,73%,4,4,86%,363,44,15,7,13,1,7,0,83%,29/35,Warriors vs Sea Eagles,Warriors,2019
1,57%,31:50,185,"1,656",568,5,42,38.5,238,3.73s,11,419,244,19,20,417,2,70%,3,10,91.8%,292,16,10,9,5,0,6,1,81%,35/43,Warriors vs Sea Eagles,Sea Eagles,2019
