,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Penalties Conceded,Completions (%),Completed Sets Ratio,Match,Team,Year
0,46%,23:50,144,"1,397",469,4,28,38.8,134,6,331,176,1,17,540,100%,2,2,88%,336,31,15,10,81%,29/36,Sharks vs Wests Tigers,Sharks,2014
1,54%,27:59,173,"1,594",538,4,31,40.9,181,13,386,203,13,17,435,87%,1,4,89.1%,302,28,9,10,79%,31/39,Sharks vs Wests Tigers,Wests Tigers,2014
