,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Errors,Penalties Conceded,Used,Completions (%),Completed Sets Ratio,Match,Team,Year
0,53%,27:25,183,"1,848",595,6,40,51.3,263,3.48s,16,391,206,22,18,492,1,55%,6,3,88.2%,313,32,10,12,5,7,81%,29/36,Wests Tigers vs Warriors,Wests Tigers,2017
1,47%,24:19,165,"1,534",522,4,32,43.9,97,3.41s,7,370,194,23,20,559,0,67%,2,3,83.7%,343,40,27,10,5,7,86%,30/35,Wests Tigers vs Warriors,Warriors,2017
