,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Penalties Conceded,On Reports,Completions (%),Completed Sets Ratio,Match,Team,Year
0,58%,29:40,182,"1,774",282,4,21,45.5,217,7,480,263,5,30,770,3,100%,4,8,89.2%,288,12,1,23,1,1,79%,31/39,Raiders vs Warriors,Raiders,2013
1,42%,21:28,141,"1,235",223,2,12,36.3,121,12,352,192,1,21,696,0,67%,1,3,91.2%,364,21,2,14,6,0,71%,24/34,Raiders vs Warriors,Warriors,2013
