,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Errors,Penalties Conceded,On Reports,Used,Completions (%),Completed Sets Ratio,Match,Team,Year
0,45%,23:33,164,"1,465",519,3,40,41.9,142,3.14s,12,355,180,27,19,445,89%,5,1,89.3%,366,33,11,12,6,1,6,66%,23/35,Knights vs Wests Tigers,Knights,2017
1,55%,28:48,197,"1,748",561,9,33,43.7,191,3.52s,6,420,223,37,23,592,64%,3,5,84%,294,40,16,7,5,0,7,85%,34/40,Knights vs Wests Tigers,Wests Tigers,2017
