,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,40/20,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Errors,Penalties Conceded,Sin Bins,Used,Completions (%),Completed Sets Ratio,Match,Team,Year
0,49%,26:31,159,"1,560",477,8,43,44.6,170,3.6s,5,365,222,44,9,233,1,89%,0,5,3,86.4%,324,33,18,14,7,0,7,66%,23/35,Rabbitohs vs Warriors,Rabbitohs,2018
1,51%,27:35,163,"1,599",556,7,34,45.7,123,3.69s,10,344,181,49,16,409,1,62%,1,2,3,85.5%,278,44,3,6,11,1,8,80%,28/35,Rabbitohs vs Warriors,Warriors,2018
