,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Errors,Penalties Conceded,Used,Head Injury Assessment,Completions (%),Completed Sets Ratio,Match,Team,Year
0,57%,30:17,205,"1,890",593,4,27,48.5,280,2.97s,11,459,263,24,21,377,5,75%,4,7,85.5%,288,34,0,15,10,8,7,1,77%,30/39,Panthers vs Rabbitohs,Panthers,2019
1,43%,22:51,167,"1,426",464,4,34,39.6,107,3.32s,9,339,180,7,17,531,2,64%,2,3,88.6%,334,27,1,16,13,6,7,1,75%,27/36,Panthers vs Rabbitohs,Rabbitohs,2019
