,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Penalties Conceded,Completions (%),Completed Sets Ratio,Match,Team,Year
0,50%,22:42,159,"1,483",401,7,28,43.6,165,3.88s,10,341,186,19,13,267,1,55%,3,4,92.6%,324,15,1,11,5,68%,23/34,Warriors vs Storm,Warriors,2015
1,50%,22:42,160,"1,296",437,2,15,38.1,98,3.92s,9,377,212,21,18,414,2,71%,2,4,87.3%,290,28,0,14,6,76%,26/34,Warriors vs Storm,Storm,2015
