,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Errors,Penalties Conceded,Used,Head Injury Assessment,Completions (%),Completed Sets Ratio,Match,Team,Year
0,58%,27:06,188,"1,898",631,11,35,43.1,290,3.52s,11,388,202,10,20,477,3,86%,1,8,91.8%,258,22,1,4,7,8,0,86%,38/44,Raiders vs Wests Tigers,Raiders,2016
1,42%,19:38,126,"1,062",350,2,22,38,110,3.36s,1,298,172,17,15,460,2,71%,3,3,87.2%,354,35,17,7,9,7,1,82%,23/28,Raiders vs Wests Tigers,Wests Tigers,2016
