,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Penalties Conceded,On Reports,Completions (%),Completed Sets Ratio,Match,Team,Year
0,39%,22:14,153,"1,490",550,3,23,37.3,149,4,360,180,31,21,475,1,56%,6,7,87%,395,18,2,41,8,1,70%,28/40,Rabbitohs vs Dragons,Rabbitohs,2013
1,61%,34:48,211,"1,871",689,4,18,39.8,205,28,461,229,35,19,431,3,85%,5,6,92%,334,23,0,6,4,0,74%,35/47,Rabbitohs vs Dragons,Dragons,2013
