,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Errors,Penalties Conceded,Used,Completions (%),Completed Sets Ratio,Match,Team,Year
0,39%,18:32,121,"1,042",318,3,16,38.6,128,3.5s,9,302,175,22,14,301,2,44%,1,6,89%,357,23,21,11,4,7,70%,19/27,Rabbitohs vs Raiders,Rabbitohs,2016
1,61%,28:59,184,"1,880",560,7,23,49.5,290,3.74s,13,389,204,12,19,385,2,100%,2,6,88.4%,214,16,12,6,3,8,87%,33/38,Rabbitohs vs Raiders,Raiders,2016
