,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Penalties Conceded,Completions (%),Completed Sets Ratio,Match,Team,Year
0,45%,22:51,153,"1,403",495,4,25,41.3,147,4.1s,9,355,200,13,15,394,0,82%,2,4,89.9%,339,19,19,10,76%,26/34,Eels vs Panthers,Eels,2015
1,55%,27:55,167,"1,496",510,2,19,34,216,3.83s,13,393,219,28,18,495,7,60%,3,4,89.3%,299,25,11,6,68%,30/44,Eels vs Panthers,Panthers,2015
