,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Errors,Penalties Conceded,On Reports,Used,Completions (%),Completed Sets Ratio,Match,Team,Year
0,55%,29:05,180,"1,726",398,0,26,43.2,208,3.83s,13,402,212,26,19,340,3,43%,5,9,92.7%,306,18,1,6,7,11,1,7,85%,34/40,Sharks vs Cowboys,Sharks,2016
1,45%,23:47,150,"1,253",315,2,18,35.8,83,3.66s,5,357,203,15,15,431,0,86%,2,3,88.6%,334,26,0,17,9,11,0,8,69%,24/35,Sharks vs Cowboys,Cowboys,2016
