,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Penalties Conceded,On Reports,Completions (%),Completed Sets Ratio,Match,Team,Year
0,51%,23:56,138,"1,314",463,2,18,29.2,210,5,338,187,4,17,553,0,88%,4,4,90.7%,323,20,0,13,9,0,69%,31/45,Knights vs Roosters,Knights,2013
1,49%,22:59,151,"1,411",477,3,20,33.6,197,10,373,197,9,24,654,1,100%,9,6,92.8%,310,18,1,6,14,1,86%,36/42,Knights vs Roosters,Roosters,2013
