,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Penalties Conceded,Completions (%),Completed Sets Ratio,Match,Team,Year
0,41%,21:50,139,"1,337",461,4,21,35.2,172,9,327,174,5,16,510,0,80%,3,1,88.6%,357,14,0,32,6,74%,28/38,Rabbitohs vs Storm,Rabbitohs,2014
1,59%,31:25,177,"1,561",522,4,14,41.1,220,19,448,240,11,26,641,2,100%,2,5,90.1%,302,21,1,12,9,84%,32/38,Rabbitohs vs Storm,Storm,2014
