,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Errors,Penalties Conceded,Sin Bins,Used,Head Injury Assessment,Completions (%),Completed Sets Ratio,Match,Team,Year
0,50%,22:37,149,"1,440",434,5,30,41.2,132,3.5s,7,360,209,28,14,252,3,88%,2,2,90.7%,294,16,0,14,10,4,1,8,2,74%,26/35,Roosters vs Sharks,Roosters,2016
1,50%,22:37,165,"1,750",446,6,16,54.7,223,3.54s,8,385,235,36,17,351,5,57%,3,8,86.9%,265,30,1,10,7,9,0,8,0,69%,22/32,Roosters vs Sharks,Sharks,2016
