,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Penalties Conceded,On Reports,Completions (%),Completed Sets Ratio,Match,Team,Year
0,46%,23:51,147,"1,654",541,2,34,46,120,10,336,172,7,18,515,1,92%,4,4,85.7%,347,36,1,22,8,1,72%,26/36,Raiders vs Cowboys,Raiders,2013
1,54%,27:59,187,"1,812",620,6,36,46.5,261,18,459,259,7,16,384,2,79%,4,3,84.3%,296,34,0,21,5,0,62%,24/39,Raiders vs Cowboys,Cowboys,2013
