,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Penalties Conceded,Completions (%),Completed Sets Ratio,Match,Team,Year
0,54%,26:26,176,"1,630",623,3,31,35.5,224,3.74s,11,420,222,17,22,656,2,67%,7,1,91%,324,26,6,4,78%,36/46,Knights vs Wests Tigers,Knights,2015
1,46%,22:31,157,"1,403",488,2,26,36,155,3.81s,3,369,186,13,25,685,1,73%,4,5,88.3%,348,31,15,6,74%,29/39,Knights vs Wests Tigers,Wests Tigers,2015
