,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Errors,Penalties Conceded,On Reports,Used,Head Injury Assessment,Completions (%),Completed Sets Ratio,Match,Team,Year
0,55%,28:31,192,"1,584",473,1,21,33.7,167,3.64s,7,432,218,16,32,680,1,92%,1,12,91.5%,345,17,15,5,7,0,8,0,85%,40/47,Dragons vs Rabbitohs,Dragons,2016
1,45%,23:19,167,"1,367",359,2,17,39.1,199,3.33s,11,367,186,15,20,585,0,80%,8,3,93%,436,21,12,9,14,2,8,1,71%,25/35,Dragons vs Rabbitohs,Rabbitohs,2016
