,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,40/20,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Errors,Penalties Conceded,Used,Head Injury Assessment,Completions (%),Completed Sets Ratio,Match,Team,Year
0,58%,30:52,171,"1,485",396,7,39,37.1,178,3.86s,9,383,209,49,19,600,2,57%,1,4,3,85.3%,291,34,16,4,3,7,2,88%,35/40,Wests Tigers vs Eels,Wests Tigers,2018
1,42%,22:21,155,"1,372",432,3,34,45.8,197,3.51s,10,367,199,38,21,550,2,78%,0,5,5,87.5%,358,39,12,9,8,7,1,77%,23/30,Wests Tigers vs Eels,Eels,2018
