,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Errors,Penalties Conceded,Used,Head Injury Assessment,Completions (%),Completed Sets Ratio,Match,Team,Year
0,59%,33:41,228,"1,841",748,3,47,43.9,152,3.54s,14,517,298,36,25,507,2,100%,8,7,80.8%,291,51,0,18,10,6,8,2,86%,36/42,Cowboys vs Panthers,Cowboys,2017
1,41%,23:25,171,"1,460",564,3,51,40.6,137,3.27s,11,354,176,24,14,495,0,53%,3,0,85.7%,400,47,1,20,13,11,8,0,69%,25/36,Cowboys vs Panthers,Panthers,2017
