,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Errors,Penalties Conceded,Used,Completions (%),Completed Sets Ratio,Match,Team,Year
0,49%,26:46,165,"1,553",477,4,28,40.9,165,3.19s,23,372,190,34,17,398,3,67%,6,6,89.3%,368,26,0,18,11,11,8,71%,27/38,Wests Tigers vs Bulldogs,Wests Tigers,2018
1,51%,27:52,167,"1,438",530,4,26,37.9,110,3.57s,7,404,234,20,14,323,1,70%,3,3,82.9%,291,28,2,32,12,7,8,74%,28/38,Wests Tigers vs Bulldogs,Bulldogs,2018
