,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Errors,Penalties Conceded,Used,Completions (%),Completed Sets Ratio,Match,Team,Year
0,55%,31:33,191,"2,007",727,5,45,49,288,3.27s,9,432,231,47,22,547,3,67%,5,6,90%,314,30,0,5,10,7,8,80%,33/41,Warriors vs Knights,Warriors,2018
1,45%,25:48,159,"1,326",462,2,30,36.8,87,3.34s,5,386,215,20,23,668,2,75%,5,6,85.6%,381,45,1,19,11,6,8,78%,28/36,Warriors vs Knights,Knights,2018
