,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Penalties Conceded,Completions (%),Completed Sets Ratio,Match,Team,Year
0,47%,26:09,162,"1,496",515,2,14,37.4,155,11,439,245,15,29,633,3,86%,5,11,91.7%,353,21,11,5,82%,33/40,Sharks vs Rabbitohs,Sharks,2014
1,53%,29:29,157,"1,526",486,3,21,36.3,177,9,409,215,14,25,643,2,91%,6,8,92.6%,348,14,14,5,69%,29/42,Sharks vs Rabbitohs,Rabbitohs,2014
