,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Penalties Conceded,Completions (%),Completed Sets Ratio,Match,Team,Year
0,49%,24:19,193,"1,544",527,1,18,35.1,162,3.7s,9,467,278,31,20,550,3,45%,4,4,88.8%,293,23,14,2,70%,31/44,Cowboys vs Roosters,Cowboys,2015
1,51%,25:18,161,"1,527",479,5,23,41.3,182,3.43s,9,352,187,16,16,457,0,64%,4,3,92%,355,18,13,10,59%,22/37,Cowboys vs Roosters,Roosters,2015
