,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,40/20,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Errors,Penalties Conceded,Used,Head Injury Assessment,Completions (%),Completed Sets Ratio,Match,Team,Year
0,49%,22:27,154,"1,580",380,8,22,43.9,259,3.46s,11,351,185,24,18,426,1,78%,0,4,3,87.6%,297,27,15,7,6,8,1,78%,28/36,Warriors vs Wests Tigers,Warriors,2016
1,51%,23:21,161,"1,455",453,6,27,38.3,103,3.6s,9,362,186,16,20,609,1,71%,1,6,4,88.8%,286,22,14,9,4,7,0,82%,31/38,Warriors vs Wests Tigers,Wests Tigers,2016
