,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,40/20,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Errors,Penalties Conceded,Used,Head Injury Assessment,Completions (%),Completed Sets Ratio,Match,Team,Year
0,50%,26:27,168,"1,535",403,6,36,39.4,169,3.8s,6,381,204,16,17,548,0,73%,1,1,2,90.8%,366,26,11,9,5,9,2,74%,29/39,Broncos vs Cowboys,Broncos,2016
1,50%,26:27,186,"1,509",412,4,26,40.8,219,3.39s,7,417,233,13,20,574,2,100%,0,3,6,88.6%,349,36,9,9,8,8,2,76%,28/37,Broncos vs Cowboys,Cowboys,2016
