,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Errors,Penalties Conceded,Used,Head Injury Assessment,Completions (%),Completed Sets Ratio,Match,Team,Year
0,42%,24:14,172,"1,402",482,0,26,45.2,139,2.64s,7,378,195,18,20,567,0,88%,6,4,89.6%,449,27,0,25,11,4,8,0,71%,22/31,Dragons vs Bulldogs,Dragons,2018
1,58%,33:27,214,"2,090",662,6,27,47.5,313,3.09s,16,475,242,17,29,738,5,67%,11,2,88.5%,314,26,2,15,6,3,7,2,86%,38/44,Dragons vs Bulldogs,Bulldogs,2018
