,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,40/20,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Penalties Conceded,On Reports,Completions (%),Completed Sets Ratio,Match,Team,Year
0,62%,30:23,182,"1,679",620,6,18,44.2,204,3.88s,6,406,231,19,12,313,2,50%,0,3,2,88.9%,295,20,0,17,7,0,68%,26/38,Cowboys vs Raiders,Cowboys,2015
1,38%,18:37,147,"1,411",501,6,20,38.1,192,3.68s,8,325,164,13,19,533,2,67%,1,4,1,93.1%,353,18,1,8,8,2,78%,29/37,Cowboys vs Raiders,Raiders,2015
