,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,40/20,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Penalties Conceded,Completions (%),Completed Sets Ratio,Match,Team,Year
0,43%,20:21,155,"1,436",494,2,13,37.8,172,14,406,222,3,20,605,2,75%,0,4,5,89.9%,347,29,10,5,66%,25/38,Raiders vs Bulldogs,Raiders,2014
1,57%,26:58,155,"1,340",500,4,29,33.5,141,7,382,204,3,19,634,0,88%,1,1,2,90.9%,309,13,18,5,78%,31/40,Raiders vs Bulldogs,Bulldogs,2014
