,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Penalties Conceded,Completions (%),Completed Sets Ratio,Match,Team,Year
0,58%,31:21,180,"1,760",608,7,40,41.9,232,3.56s,9,420,218,13,25,695,0,80%,6,3,86.5%,307,37,11,4,83%,35/42,Wests Tigers vs Rabbitohs,Wests Tigers,2015
1,42%,22:42,160,"1,507",552,3,37,43.1,154,4.17s,7,389,213,30,21,592,1,64%,4,4,87.8%,389,40,14,7,74%,26/35,Wests Tigers vs Rabbitohs,Rabbitohs,2015
