,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Penalties Conceded,On Reports,Completions (%),Completed Sets Ratio,Match,Team,Year
0,65%,33:20,181,"1,675",631,6,42,38.1,255,9,425,224,7,21,518,2,100%,2,8,81.5%,207,35,12,11,0,80%,35/44,Wests Tigers vs Sea Eagles,Wests Tigers,2014
1,35%,17:57,132,"1,077",305,5,35,26.3,97,9,320,173,10,15,431,1,95%,0,2,85.2%,352,42,19,9,1,63%,26/41,Wests Tigers vs Sea Eagles,Sea Eagles,2014
