,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Errors,Penalties Conceded,On Reports,Used,Completions (%),Completed Sets Ratio,Match,Team,Year
0,49%,23:59,146,"1,222",415,1,17,37,92,3.59s,5,342,183,11,18,545,1,86%,2,7,90.4%,312,23,10,10,8,1,7,73%,24/33,Bulldogs vs Rabbitohs,Bulldogs,2016
1,51%,24:58,158,"1,510",444,4,23,37.8,239,3.57s,8,358,192,11,20,480,2,57%,4,9,92.9%,301,17,6,9,4,0,7,82%,33/40,Bulldogs vs Rabbitohs,Rabbitohs,2016
