,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Errors,Penalties Conceded,Sin Bins,Used,Completions (%),Completed Sets Ratio,Match,Team,Year
0,58%,29:59,186,"1,784",694,3,45,42.5,189,3.75s,11,423,235,32,16,298,2,86%,7,5,79.9%,247,43,19,11,6,0,8,83%,35/42,Raiders vs Rabbitohs,Raiders,2018
1,42%,21:42,154,"1,521",508,2,43,46.1,131,3.32s,12,349,200,32,12,266,1,55%,3,2,84.8%,345,45,17,17,10,1,8,64%,21/33,Raiders vs Rabbitohs,Rabbitohs,2018
