,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Errors,Penalties Conceded,On Reports,Sin Bins,Used,Head Injury Assessment,Completions (%),Completed Sets Ratio,Match,Team,Year
0,42%,21:31,162,"1,368",419,3,30,38,121,3.18s,5,334,173,4,16,434,0,69%,2,3,89.5%,358,25,17,10,10,1,0,7,0,72%,26/36,Knights vs Warriors,Knights,2019
1,58%,29:43,204,"1,810",607,4,25,44.2,220,3.66s,10,437,257,16,16,353,4,50%,3,8,90.1%,319,30,5,13,6,0,1,6,2,78%,32/41,Knights vs Warriors,Warriors,2019
