,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Errors,Penalties Conceded,Used,Head Injury Assessment,Completions (%),Completed Sets Ratio,Match,Team,Year
0,54%,27:56,176,"1,583",542,4,23,42.8,226,3.36s,12,384,196,23,19,439,2,70%,4,7,87%,320,31,1,17,11,6,6,4,73%,27/37,Rabbitohs vs Dragons,Rabbitohs,2016
1,46%,23:48,164,"1,459",505,3,31,42.9,156,3.64s,10,351,175,16,23,656,0,57%,1,4,87.7%,342,23,1,25,5,5,8,2,85%,29/34,Rabbitohs vs Dragons,Dragons,2016
