,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Penalties Conceded,Completions (%),Completed Sets Ratio,Match,Team,Year
0,44%,21:01,175,"1,487",482,4,11,42.5,102,3.7s,14,401,221,33,18,583,0,50%,1,4,86.7%,326,34,16,8,86%,30/35,Sea Eagles vs Storm,Sea Eagles,2015
1,56%,26:45,190,"1,756",516,6,34,45,265,3.68s,13,434,250,33,19,450,1,67%,3,3,90.8%,336,11,23,8,77%,30/39,Sea Eagles vs Storm,Storm,2015
