,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,40/20,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Errors,Penalties Conceded,On Reports,Used,Completions (%),Completed Sets Ratio,Match,Team,Year
0,46%,24:53,167,"1,388",344,1,27,43.4,133,3.6s,11,369,198,23,22,488,0,89%,0,8,5,87.6%,332,31,16,5,5,0,7,84%,27/32,Titans vs Storm,Titans,2019
1,54%,29:12,192,"1,799",458,9,31,45,255,3.73s,10,414,229,37,21,529,3,79%,1,3,8,87.8%,323,27,18,9,6,2,8,80%,32/40,Titans vs Storm,Storm,2019
