,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Penalties Conceded,On Reports,Completions (%),Completed Sets Ratio,Match,Team,Year
0,51%,27:24,158,"1,405",422,4,22,38,220,7,380,207,7,16,497,1,89%,1,2,85.9%,367,36,0,24,6,1,57%,21/37,Knights vs Panthers,Knights,2014
1,49%,26:20,189,"1,621",533,5,36,36.9,154,18,461,240,8,25,796,2,92%,1,6,89.9%,302,22,1,12,5,0,82%,36/44,Knights vs Panthers,Panthers,2014
