,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Errors,Penalties Conceded,Used,Head Injury Assessment,Completions (%),Completed Sets Ratio,Match,Team,Year
0,57%,30:23,189,"1,722",474,7,28,44.2,190,3.6s,3,427,240,35,19,543,2,100%,4,4,92%,312,12,15,8,7,7,2,82%,32/39,Warriors vs Eels,Warriors,2017
1,43%,22:55,169,"1,469",405,3,12,43.2,98,3.27s,8,357,189,20,18,392,0,91%,1,6,91.5%,356,28,5,8,9,8,3,79%,27/34,Warriors vs Eels,Eels,2017
