,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Errors,Penalties Conceded,Used,Head Injury Assessment,Completions (%),Completed Sets Ratio,Match,Team,Year
0,47%,25:30,169,"1,653",303,1,35,39.4,344,3.12s,11,377,198,5,20,565,1,92%,5,8,86.2%,355,40,0,17,14,3,7,0,69%,29/42,Broncos vs Dragons,Broncos,2019
1,53%,28:45,189,"1,696",304,7,40,44.6,183,3.55s,9,410,217,10,22,682,1,91%,5,4,85.6%,310,35,1,17,8,7,8,1,84%,32/38,Broncos vs Dragons,Dragons,2019
