,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Penalties Conceded,On Reports,Completions (%),Completed Sets Ratio,Match,Team,Year
0,60%,30:40,164,"1,561",455,4,32,43.4,229,8,426,232,6,29,876,2,93%,6,4,93.1%,298,16,6,3,1,92%,33/36,Warriors vs Knights,Warriors,2014
1,40%,20:27,146,"1,227",432,1,16,37.2,98,5,362,184,8,23,641,0,93%,2,2,89.2%,338,32,9,1,0,79%,26/33,Warriors vs Knights,Knights,2014
