,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Errors,Penalties Conceded,Used,Completions (%),Completed Sets Ratio,Match,Team,Year
0,50%,29:36,200,"1,811",580,5,40,51.8,272,3.45s,10,427,237,30,21,537,1,56%,6,7,82.7%,369,45,0,32,9,3,8,77%,27/35,Titans vs Dragons,Titans,2019
1,50%,29:36,201,"1,973",615,7,45,53.3,170,3.56s,18,435,233,23,26,588,3,91%,5,3,85%,347,40,1,21,10,2,8,81%,30/37,Titans vs Dragons,Dragons,2019
