,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Errors,Penalties Conceded,On Reports,Sin Bins,Used,Head Injury Assessment,Completions (%),Completed Sets Ratio,Match,Team,Year
0,53%,25:36,152,"1,628",483,7,42,41.8,190,3.26s,16,376,221,27,15,376,2,60%,3,5,84.7%,266,29,19,8,12,1,0,7,2,85%,33/39,Rabbitohs vs Raiders,Rabbitohs,2018
1,47%,22:42,143,"1,293",483,4,29,36.9,106,3.34s,13,332,194,15,8,144,0,50%,2,2,79.5%,263,42,26,13,14,0,1,7,0,69%,24/35,Rabbitohs vs Raiders,Raiders,2018
