,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,40/20,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Errors,Penalties Conceded,Used,Completions (%),Completed Sets Ratio,Match,Team,Year
0,48%,25:37,171,"1,358",356,1,37,37.7,97,3.26s,14,365,202,27,14,349,0,75%,0,5,2,88.4%,343,33,12,13,5,8,67%,24/36,Wests Tigers vs Sharks,Wests Tigers,2019
1,52%,27:46,175,"1,529",442,3,33,39.2,154,3.52s,8,435,250,17,22,577,2,57%,1,2,9,82.6%,300,37,26,14,8,8,77%,30/39,Wests Tigers vs Sharks,Sharks,2019
