,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Errors,Penalties Conceded,On Reports,Used,Head Injury Assessment,Completions (%),Completed Sets Ratio,Match,Team,Year
0,62%,30:22,192,"1,920",542,13,49,42.7,413,3.82s,10,407,229,15,19,538,2,57%,2,5,89.6%,266,22,2,9,8,4,0,7,1,82%,37/45,Storm vs Rabbitohs,Storm,2017
1,38%,18:36,127,"1,070",361,1,22,39.7,104,3.31s,5,273,141,19,16,462,0,58%,3,1,84.4%,342,49,0,14,9,9,1,7,2,74%,20/27,Storm vs Rabbitohs,Rabbitohs,2017
