,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Penalties Conceded,Sin Bins,Completions (%),Completed Sets Ratio,Match,Team,Year
0,28%,12:32,144,"1,135",438,1,22,29.9,58,7,356,202,6,20,447,0,62%,7,3,82.2%,273,44,1,15,5,1,74%,28/38,Warriors vs Roosters,Warriors,2014
1,72%,32:15,150,"1,652",424,8,44,45.9,268,8,365,198,14,19,513,1,77%,5,6,90.3%,297,22,1,10,11,0,78%,28/36,Warriors vs Roosters,Roosters,2014
