,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Errors,Penalties Conceded,On Reports,Used,Head Injury Assessment,Completions (%),Completed Sets Ratio,Match,Team,Year
0,46%,23:34,162,"1,482",486,3,40,42.4,132,3.4s,6,352,191,35,17,391,100%,4,4,85.6%,334,34,22,10,6,0,7,0,77%,27/35,Bulldogs vs Raiders,Bulldogs,2018
1,54%,27:41,171,"1,631",508,9,34,42.9,167,3.31s,13,363,194,36,14,384,62%,3,0,85.9%,299,40,9,10,8,1,8,2,74%,28/38,Bulldogs vs Raiders,Raiders,2018
