,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Errors,Penalties Conceded,Used,Completions (%),Completed Sets Ratio,Match,Team,Year
0,51%,25:05,155,"1,484",513,6,30,41.2,172,3.47s,10,329,165,33,16,436,0,50%,5,3,84.2%,314,42,17,7,9,8,86%,31/36,Warriors vs Panthers,Warriors,2018
1,49%,24:06,146,"1,380",479,2,42,39.5,123,3.37s,12,347,189,23,20,428,3,75%,1,8,88.3%,324,30,13,10,9,7,71%,25/35,Warriors vs Panthers,Panthers,2018
