,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Errors,Penalties Conceded,Sin Bins,Used,Completions (%),Completed Sets Ratio,Match,Team,Year
0,46%,25:28,165,"1,526",538,2,22,42.4,199,3.04s,5,402,233,28,21,578,2,50%,3,4,90.1%,353,32,1,7,8,7,0,8,83%,30/36,Knights vs Roosters,Knights,2018
1,54%,29:53,164,"1,585",610,3,32,44,192,3s,5,378,206,18,21,484,2,100%,6,2,92.4%,329,22,0,5,9,11,1,7,86%,31/36,Knights vs Roosters,Roosters,2018
