,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Penalties Conceded,On Reports,Completions (%),Completed Sets Ratio,Match,Team,Year
0,56%,31:24,220,"1,972",677,3,14,48.1,330,4.14s,17,518,287,42,27,523,10,80%,2,17,92.6%,327,18,8,4,0,88%,36/41,Storm vs Broncos,Storm,2015
1,44%,24:41,161,"1,477",562,2,18,47.7,147,3.63s,5,363,197,19,17,513,0,88%,2,2,92.7%,445,14,21,7,1,81%,25/31,Storm vs Broncos,Broncos,2015
