,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Errors,Penalties Conceded,Used,Head Injury Assessment,Completions (%),Completed Sets Ratio,Match,Team,Year
0,58%,31:51,217,"1,860",556,3,30,43.3,225,3.58s,18,438,226,11,23,444,4,69%,8,10,88%,287,12,1,27,8,5,7,0,81%,35/43,Cowboys vs Eels,Cowboys,2019
1,42%,23:04,152,"1,528",409,3,12,46.3,125,3.34s,12,339,174,2,22,589,2,86%,9,6,85.1%,394,30,1,39,12,9,8,1,76%,25/33,Cowboys vs Eels,Eels,2019
