,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Errors,Penalties Conceded,Sin Bins,Used,Head Injury Assessment,Completions (%),Completed Sets Ratio,Match,Team,Year
0,49%,24:14,179,"1,413",497,3,16,32.9,81,3.34s,12,357,196,25,15,330,1,50%,3,3,93.2%,317,18,0,5,12,8,0,6,0,72%,31/43,Bulldogs vs Cowboys,Bulldogs,2017
1,51%,25:13,154,"1,433",505,2,18,35.8,146,3.55s,4,371,203,40,22,463,0,60%,3,13,90.6%,338,16,1,19,9,11,1,8,2,82%,33/40,Bulldogs vs Cowboys,Cowboys,2017
