,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Penalties Conceded,Completions (%),Completed Sets Ratio,Match,Team,Year
0,51%,24:26,174,"1,536",495,5,30,40.4,206,13,381,194,28,17,438,1,100%,4,3,88.4%,258,18,16,6,68%,26/38,Rabbitohs vs Titans,Rabbitohs,2013
1,49%,23:29,145,"1,395",459,5,18,38.8,124,14,323,169,17,15,438,0,75%,1,1,87.9%,343,30,17,6,64%,23/36,Rabbitohs vs Titans,Titans,2013
