,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Penalties Conceded,Completions (%),Completed Sets Ratio,Match,Team,Year
0,49%,23:30,163,"1,677",557,5,25,40.9,179,11,397,211,16,25,514,93%,8,6,88.2%,307,23,0,18,5,71%,29/41,Storm vs Warriors,Storm,2013
1,51%,24:28,152,"1,373",491,1,23,36.2,207,10,393,223,18,20,588,75%,4,0,87.2%,314,25,1,21,5,74%,28/38,Storm vs Warriors,Warriors,2013
