,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Penalties Conceded,On Reports,Completions (%),Completed Sets Ratio,Match,Team,Year
0,52%,25:52,152,"1,590",534,8,24,44.2,196,5,358,191,6,17,457,1,92%,3,3,87.5%,315,25,20,7,1,86%,31/36,Knights vs Cowboys,Knights,2014
1,48%,23:53,161,"1,430",481,3,25,36.7,172,13,397,219,12,15,452,1,86%,1,4,91.7%,321,24,5,7,0,74%,29/39,Knights vs Cowboys,Cowboys,2014
